               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.033726,            0.010119,                   0,             0.91427,             0.88592,             0.92248,             0.49541,            0.033121,           0.0061869,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.033678,           0.0099411,                   0,             0.92478,             0.89823,             0.93405,             0.50419,            0.032799,           0.0062224,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.033888,           0.0099754,                   0,             0.90992,             0.89158,             0.92642,             0.49925,            0.033833,           0.0061859,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.033712,           0.0098831,                   0,             0.90841,             0.87643,             0.91743,             0.49874,            0.033529,           0.0063122,                   0,            0.004159,            0.004159,            0.004159
                  61,             0.03357,           0.0099394,                   0,             0.91224,             0.90674,             0.93348,             0.50845,            0.032502,           0.0062307,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.033301,            0.009974,                   0,             0.91123,             0.89408,             0.93023,             0.50475,            0.032655,           0.0061764,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.032881,            0.010028,                   0,             0.91114,             0.88374,             0.92814,             0.49872,            0.033517,           0.0061789,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.032945,           0.0098535,                   0,             0.90072,             0.90239,             0.92747,             0.50441,            0.032563,           0.0062248,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.032975,           0.0098162,                   0,              0.9185,             0.90109,             0.92868,             0.50818,            0.032263,           0.0061485,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.032855,           0.0097312,                   0,             0.91559,             0.90111,               0.932,             0.51264,            0.032475,           0.0060833,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.032665,            0.009715,                   0,             0.91619,             0.89684,             0.92819,             0.50845,            0.032776,           0.0061374,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.032585,           0.0096118,                   0,             0.91459,              0.9107,             0.93519,              0.5164,             0.03217,           0.0060532,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.031777,            0.009638,                   0,             0.91829,             0.89857,             0.93148,             0.50859,            0.033018,           0.0060963,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.032587,           0.0098138,                   0,             0.92827,             0.89512,             0.93862,             0.51231,            0.032437,           0.0060827,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.032287,            0.009707,                   0,             0.91928,             0.89884,             0.93596,             0.52278,            0.032521,           0.0060853,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.032449,           0.0096833,                   0,             0.91203,             0.89356,             0.93495,             0.51102,            0.032558,           0.0060753,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.032461,           0.0096115,                   0,             0.90389,             0.88889,             0.92387,              0.5112,            0.032979,           0.0061107,                   0,            0.002872,            0.002872,            0.002872
                  74,             0.03194,           0.0094176,                   0,              0.9134,             0.90343,             0.93638,             0.51922,            0.032792,           0.0061254,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.031988,           0.0095042,                   0,              0.9219,             0.92004,             0.94378,             0.52429,            0.032118,           0.0060455,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.031656,           0.0092428,                   0,             0.92937,             0.90176,             0.94054,             0.52517,            0.032103,           0.0060266,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.031553,           0.0094822,                   0,             0.91506,             0.91737,             0.94028,             0.51661,            0.032304,           0.0060617,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.031281,           0.0093166,                   0,             0.92808,             0.90758,             0.93863,             0.51696,            0.032043,           0.0060277,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.031125,           0.0093168,                   0,             0.91464,             0.92353,             0.94856,             0.52745,            0.031503,           0.0060003,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.031682,           0.0092405,                   0,             0.92875,             0.89333,             0.93168,             0.52793,            0.032184,           0.0059922,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.030839,           0.0091772,                   0,             0.92219,             0.91073,              0.9373,             0.52738,            0.031982,           0.0059795,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.03086,           0.0092419,                   0,             0.93149,             0.90239,             0.93904,             0.52744,            0.032059,            0.006014,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.031073,            0.009349,                   0,             0.92351,             0.90343,             0.93677,             0.52754,            0.031848,           0.0059589,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.030796,           0.0092038,                   0,             0.90438,             0.91589,             0.93172,             0.52185,            0.032174,           0.0059887,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.030811,            0.009234,                   0,             0.92253,              0.9107,             0.93715,             0.53282,            0.031462,           0.0059159,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.030461,           0.0091599,                   0,             0.91414,             0.92875,              0.9448,             0.53482,            0.031616,           0.0059329,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.030297,           0.0092375,                   0,             0.93247,             0.90328,             0.94236,             0.52846,            0.031994,           0.0059107,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.029738,           0.0089717,                   0,             0.92411,             0.90239,             0.93666,             0.53203,             0.03182,           0.0059119,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.030236,           0.0090324,                   0,             0.91919,             0.91589,             0.93844,             0.53488,            0.031382,           0.0059296,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.029824,           0.0089256,                   0,             0.92026,             0.92272,             0.94279,             0.53509,            0.031725,            0.005858,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.030006,            0.008987,                   0,             0.93001,             0.91067,             0.94001,             0.53211,            0.031723,           0.0058808,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.029878,           0.0089764,                   0,             0.91733,              0.9218,             0.94027,             0.53578,            0.031591,           0.0059164,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.029531,            0.008868,                   0,             0.92173,             0.91713,             0.93853,             0.53254,             0.03196,           0.0059304,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.029579,           0.0089878,                   0,             0.92111,             0.92147,             0.94012,             0.53121,            0.031806,              0.0059,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.029882,           0.0091001,                   0,             0.92011,             0.92087,             0.93929,             0.53512,            0.031848,           0.0058615,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.029328,           0.0089554,                   0,             0.92567,             0.91811,             0.94295,             0.53693,            0.031886,           0.0058558,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.029451,           0.0088951,                   0,             0.91864,              0.9242,             0.94183,             0.53625,            0.031671,           0.0058716,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.029342,           0.0090328,                   0,               0.923,              0.9211,              0.9411,             0.53594,            0.031673,           0.0058745,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.029015,           0.0087571,                   0,             0.92025,             0.92731,              0.9466,             0.53683,            0.031944,           0.0058816,                   0,            0.000298,            0.000298,            0.000298
