               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,             0.03921,            0.024101,           0.0078229,             0.70112,             0.51845,             0.57672,             0.33375,            0.034679,            0.016716,           0.0072164,           0.0074755,           0.0074755,           0.0074755
                  53,            0.039017,            0.024392,           0.0075557,             0.69527,             0.53359,             0.58475,             0.33707,            0.034825,            0.016783,           0.0072025,            0.007426,            0.007426,            0.007426
                  54,             0.03909,             0.02439,            0.007561,              0.6829,             0.54487,             0.58646,              0.3375,            0.034673,            0.016669,           0.0069281,           0.0073765,           0.0073765,           0.0073765
                  55,            0.038868,            0.024063,           0.0074127,             0.71046,             0.52991,             0.58625,             0.33509,            0.034602,             0.01675,           0.0070292,            0.007327,            0.007327,            0.007327
                  56,            0.038863,            0.024379,           0.0074271,             0.69156,             0.54257,             0.58962,             0.34041,            0.034463,            0.016579,           0.0069541,           0.0072775,           0.0072775,           0.0072775
                  57,            0.038608,            0.023912,           0.0075673,             0.68846,             0.53762,             0.58301,             0.33891,            0.034264,            0.016546,           0.0072207,            0.007228,            0.007228,            0.007228
                  58,            0.038634,            0.023794,           0.0072521,             0.67956,             0.53585,             0.58181,             0.33995,            0.034264,            0.016481,           0.0070682,           0.0071785,           0.0071785,           0.0071785
                  59,            0.038487,            0.024249,            0.007287,              0.7038,             0.54315,              0.5936,             0.34328,            0.034288,            0.016482,           0.0070078,            0.007129,            0.007129,            0.007129
                  60,            0.038468,            0.023609,           0.0072992,              0.6966,             0.55007,             0.59717,             0.34925,            0.034166,            0.016582,           0.0069876,           0.0070795,           0.0070795,           0.0070795
                  61,            0.038392,             0.02407,           0.0072793,             0.70354,              0.5415,              0.5972,             0.35073,            0.034195,            0.016524,           0.0068274,             0.00703,             0.00703,             0.00703
                  62,            0.038378,            0.024392,           0.0071859,               0.681,             0.56163,             0.60137,             0.35629,            0.033802,            0.016364,            0.006866,           0.0069805,           0.0069805,           0.0069805
                  63,            0.038205,            0.023981,           0.0071411,             0.70034,             0.55091,              0.6019,             0.35265,             0.03388,            0.016439,           0.0067659,            0.006931,            0.006931,            0.006931
                  64,            0.038054,            0.024066,           0.0072144,               0.707,             0.55214,             0.60276,             0.35296,            0.033686,            0.016318,           0.0069047,           0.0068815,           0.0068815,           0.0068815
                  65,            0.037922,             0.02351,              0.0072,             0.69268,             0.55848,             0.60507,             0.35775,            0.033661,            0.016328,           0.0066822,            0.006832,            0.006832,            0.006832
                  66,            0.037999,            0.023429,            0.007201,             0.71312,             0.55568,             0.60722,             0.35641,            0.033665,            0.016308,           0.0066397,           0.0067825,           0.0067825,           0.0067825
                  67,            0.037741,            0.023732,           0.0071126,             0.71377,             0.56276,             0.61243,             0.35956,             0.03342,            0.016215,             0.00667,            0.006733,            0.006733,            0.006733
                  68,            0.037683,            0.023597,           0.0069381,             0.69823,             0.56195,             0.61061,             0.35994,            0.033497,            0.016253,            0.006561,           0.0066835,           0.0066835,           0.0066835
                  69,             0.03757,            0.023119,           0.0069718,              0.7096,              0.5648,             0.61103,              0.3593,            0.033483,            0.016266,           0.0065974,            0.006634,            0.006634,            0.006634
                  70,            0.037727,            0.023352,            0.006789,             0.70595,             0.56426,             0.61057,             0.36232,            0.033352,            0.016214,           0.0065955,           0.0065845,           0.0065845,           0.0065845
                  71,            0.037698,            0.023745,           0.0068882,              0.7387,             0.55938,             0.61771,             0.36502,            0.033167,            0.016106,           0.0066637,            0.006535,            0.006535,            0.006535
                  72,            0.037414,            0.024031,           0.0067291,             0.71236,             0.56292,             0.61259,             0.36661,            0.033154,            0.016108,           0.0066342,           0.0064855,           0.0064855,           0.0064855
                  73,            0.037343,            0.023243,           0.0067831,             0.70722,             0.56647,             0.61767,             0.36656,            0.033185,            0.016136,           0.0066071,            0.006436,            0.006436,            0.006436
                  74,            0.037408,            0.023586,            0.006825,             0.73132,             0.55932,              0.6177,             0.36577,            0.033126,            0.016116,           0.0066198,           0.0063865,           0.0063865,           0.0063865
                  75,            0.036972,            0.023472,            0.006618,              0.7096,             0.57671,             0.62346,             0.37143,            0.032911,            0.016049,           0.0065616,            0.006337,            0.006337,            0.006337
                  76,            0.036983,            0.023285,           0.0067378,             0.72237,             0.57044,             0.62375,             0.37131,            0.032972,            0.015973,           0.0063733,           0.0062875,           0.0062875,           0.0062875
                  77,            0.037135,            0.023666,            0.006766,             0.72088,             0.57055,             0.62654,             0.37237,            0.032888,            0.015939,            0.006435,            0.006238,            0.006238,            0.006238
                  78,            0.036955,              0.0232,           0.0067412,             0.71927,             0.57764,             0.62901,             0.37032,            0.032867,            0.016002,           0.0065999,           0.0061885,           0.0061885,           0.0061885
                  79,            0.036757,            0.023465,           0.0067781,             0.72669,             0.57436,             0.62617,             0.37262,            0.032785,            0.016028,           0.0065084,            0.006139,            0.006139,            0.006139
                  80,            0.036748,            0.023134,            0.006704,             0.73663,              0.5684,              0.6259,             0.37172,            0.032734,            0.015952,            0.006653,           0.0060895,           0.0060895,           0.0060895
                  81,            0.036977,            0.022913,           0.0065938,             0.72985,             0.57436,             0.63032,             0.37678,             0.03255,            0.015954,           0.0064511,             0.00604,             0.00604,             0.00604
                  82,            0.036761,            0.023256,           0.0065742,              0.7316,             0.57658,             0.63093,             0.37741,            0.032579,            0.015924,           0.0064103,           0.0059905,           0.0059905,           0.0059905
                  83,            0.036758,            0.022916,           0.0064983,             0.72068,             0.57942,             0.63392,             0.38053,            0.032565,            0.015918,            0.006355,            0.005941,            0.005941,            0.005941
                  84,            0.036306,            0.022862,           0.0064592,             0.72913,             0.57816,             0.63528,             0.38166,            0.032418,            0.015888,           0.0062311,           0.0058915,           0.0058915,           0.0058915
                  85,            0.036571,            0.023264,           0.0065477,             0.72802,             0.58021,             0.63583,             0.38143,            0.032477,            0.015839,           0.0064042,            0.005842,            0.005842,            0.005842
                  86,            0.036404,            0.022947,           0.0063859,             0.71573,             0.59322,             0.63759,             0.38161,            0.032418,            0.015818,           0.0064731,           0.0057925,           0.0057925,           0.0057925
                  87,            0.036706,            0.022913,           0.0063246,             0.73644,             0.57838,             0.63537,             0.38069,            0.032427,            0.015794,           0.0064779,            0.005743,            0.005743,            0.005743
                  88,            0.036645,            0.022841,           0.0064939,              0.7322,             0.57711,             0.63638,             0.38164,            0.032301,            0.015831,           0.0063761,           0.0056935,           0.0056935,           0.0056935
                  89,            0.036097,            0.022817,           0.0062815,             0.72551,             0.58549,             0.64047,             0.38462,            0.032162,            0.015711,           0.0063968,            0.005644,            0.005644,            0.005644
                  90,            0.036256,            0.023091,           0.0064751,             0.73435,             0.58698,              0.6386,             0.38346,            0.032175,            0.015721,           0.0064061,           0.0055945,           0.0055945,           0.0055945
                  91,            0.036023,              0.0229,           0.0061566,             0.74476,             0.58718,             0.64294,             0.38691,            0.032135,            0.015743,           0.0062759,            0.005545,            0.005545,            0.005545
                  92,            0.035962,            0.022813,           0.0061293,             0.72427,              0.5954,             0.64106,             0.38775,            0.032059,            0.015719,           0.0063043,           0.0054955,           0.0054955,           0.0054955
                  93,            0.036479,            0.023003,            0.006419,             0.74964,             0.58913,             0.64261,             0.38886,            0.032086,            0.015693,           0.0063183,            0.005446,            0.005446,            0.005446
                  94,            0.035988,            0.022541,           0.0061871,             0.74235,             0.58991,             0.64208,             0.38813,            0.032071,            0.015687,           0.0064279,           0.0053965,           0.0053965,           0.0053965
                  95,            0.036002,             0.02262,           0.0061901,             0.73127,             0.59197,             0.64482,             0.39153,            0.031945,            0.015629,           0.0062579,            0.005347,            0.005347,            0.005347
